GLOB_3x3
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 75    1    4    4    4    4    4    4    4    4    4    4    4    4
 76    1    4    4    4    4    4    4    4    4    4    4    4    4
 77    1    4    4    4    4    4    4    4    4    4    4    4    4
 78    1    4    4    4    4    4    4    4    4    4    4    4    4
 79    1    4    4    4    4    4    4    4    4    4    4    4    4
 80    1    4    4    4    4    4    4    4    4    4    4    4    4
 81    1    4    4    4    4    4    4    4    4    4    4    4    4
 82    1    4    4    4    4    4    4    4    4    4    4    4    4
 83    1    4    4    4    4    4    4    4    4    4    4    4    4
 84    1    4    4    4    4    4    4    4    4    4    4    4    4
 85    1    4    4    4    4    4    4    4    4    4    4    4    4
 86    1    4    4    4    4    4    4    4    4    4    4    4    4
 87    1    4    4    4    4    4    4    4    4    4    4    4    4
 88    1    4    4    4    4    4    4    4    4    4    4    4    4
 89    1    4    4    4    4    4    4    4    4    4    4    4    4
 90    1    4    4    4    4    4    4    4    4    4    4    4    4
 91    1    4    4    4    4    4    4    4    4    4    4    4    4
 92    1    4    4    4    4    4    4    4    4    4    4    4    4
 93    1    4    4    4    4    4    4    4    4    4    4    4    4
 94    1    4    4    4    4    4    4    4    4    4    4    4    4
 95    1    4    4    4    4    4    4    4    4    4    4    4    4
 96    1    4    4    4    4    4    4    4    4    4    4    4    4
 97    1    4    4    4    4    4    4    4    4    4    4    4    4
 98    1    4    4    4    4    4    4    4    4    4    4    4    4
 99    1    4    4    4    4    4    4    4    4    4    4    4    4
100    1    4    4    4    4    4    4    4    4    4    4    4    4
101    1    4    4    4    4    4    4    4    4    4    4    4    4
102    1    4    4    4    4    4    4    4    4    4    4    4    4
103    1    4    4    4    4    4    4    4    4    4    4    4    4
104    1    4    4    4    4    4    4    4    4    4    4    4    4
105    1    4    4    4    4    4    4    4    4    4    4    4    4
106    1    4    4    4    4    4    4    4    4    4    4    4    4
107    1    4    4    4    4    4    4    4    4    4    4    4    4
108    1    4    4    4    4    4    4    4    4    4    4    4    4
109    1    4    4    4    4    4    4    4    4    4    4    4    4
110    1    4    4    4    4    4    4    4    4    4    4    4    4
111    1    4    4    4    4    4    4    4    4    4    4    4    4
112    1    4    4    4    4    4    4    4    4    4    4    4    4
113    1    4    4    4    4    4    4    4    4    4    4    4    4
114    1    4    4    4    4    4    4    4    4    4    4    4    4
115    1    4    4    4    4    4    4    4    4    4    4    4    4
116    1    4    4    4    4    4    4    4    4    4    4    4    4
117    1    4    4    4    4    4    4    4    4    4    4    4    4
118    1    4    4    4    4    4    4    4    4    4    4    4    4
119    1    4    4    4    4    4    4    4    4    4    4    4    4
120    1    4    4    4    4    4    4    4    4    4    4    4    4
  1    2    4    4    4    4    4    4    4    4    4    4    4    4
  2    2    4    4    4    4    4    4    4    4    4    4    4    4
  3    2    4    4    4    4    4    4    4    4    4    4    4    4
  4    2    4    4    4    4    4    4    4    4    4    4    4    4
  5    2    4    4    4    4    4    4    4    4    4    4    4    4
  6    2    4    4    4    4    4    4    4    4    4    4    4    4
  7    2    4    4    4    4    4    4    4    4    4    4    4    4
  8    2    4    4    4    4    4    4    4    4    4    4    4    4
  9    2    4    4    4    4    4    4    4    4    4    4    4    4
 10    2    4    4    4    4    4    4    4    4    4    4    4    4
 11    2    4    4    4    4    4    4    4    4    4    4    4    4
 12    2    4    4    4    4    4    4    4    4    4    4    4    4
 13    2    4    4    4    4    4    4    4    4    4    4    4    4
 14    2    4    4    4    4    4    4    4    4    4    4    4    4
 15    2    4    4    4    4    4    4    4    4    4    4    4    4
 16    2    4    4    4    4    4    4    4    4    4    4    4    4
 17    2    4    4    4    4    4    4    4    4    4    4    4    4
 18    2    4    4    4    4    4    4    4    4    4    4    4    4
 19    2    4    4    4    4    4    4    4    4    4    4    4    4
 20    2    4    4    4    4    4    4    4    4    4    4    4    4
 21    2    4    4    4    4    4    4    4    4    4    4    4    4
 22    2    4    4    4    4    4    4    4    4    4    4    4    4
 23    2    4    4    4    4    4    4    4    4    4    4    4    4
 24    2    4    4    4    4    4    4    4    4    4    4    4    4
 25    2    4    4    4    4    4    4    4    4    4    4    4    4
 26    2    4    4    4    4    4    4    4    4    4    4    4    4
 27    2    4    4    4    4    4    4    4    4    4    4    4    4
 28    2    4    4    4    4    4    4    4    4    4    4    4    4
 29    2    4    4    4    4    4    4    4    4    4    4    4    4
 30    2    4    4    4    4    4    4    4    4    4    4    4    4
 31    2    4    4    4    4    4    4    4    4    4    4    4    4
 32    2    4    4    4    4    4    4    4    4    4    4    4    4
 33    2    4    4    4    4    4    4    4    4    4    4    4    4
 34    2    4    4    4    4    4    4    4    4    4    4    4    4
 35    2    4    4    4    4    4    4    4    4    4    4    4    4
 36    2    4    4    4    4    4    4    4    4    4    4    4    4
 37    2    4    4    4    4    4    4    4    4    4    4    4    4
 38    2    4    4    4    4    4    4    4    4    4    4    4    4
 39    2    4    4    4    4    4    4    4    4    4    4    4    4
 40    2    4    4    4    4    4    4    4    4    4    4    4    4
 41    2    4    4    4    4    4    4    4    4    4    4    4    4
 42    2    4    4    4    4    4    4    4    4    4    4    4    4
 43    2    4    4    4    4    4    4    4    4    4    4    4    4
 44    2    4    4    4    4    4    4    4    4    4    4    4    4
 45    2    4    4    4    4    4    4    4    4    4    4    4    4
 46    2    4    4    4    4    4    4    4    4    4    4    4    4
 47    2    4    4    4    4    4    4    4    4    4    4    4    4
 48    2    4    4    4    4    4    4    4    4    4    4    4    4
 49    2    4    4    4    4    4    4    4    4    4    4    4    4
 50    2    4    4    4    4    4    4    4    4    4    4    4    4
 51    2    4    4    4    4    4    4    4    4    4    4    4    4
 52    2    4    4    4    4    4    4    4    4    4    4    4    4
 53    2    4    4    4    4    4    4    4    4    4    4    4    4
 54    2    4    4    4    4    4    4    4    4    4    4    4    4
 55    2    4    4    4    4    4    4    4    4    4    4    4    4
 56    2    4    4    4    4    4    4    4    4    4    4    4    4
 57    2    4    4    4    4    4    4    4    4    4    4    4    4
 58    2    4    4    4    4    4    4    4    4    4    4    4    4
 59    2    4    4    4    4    4    4    4    4    4    4    4    4
 60    2    4    4    4    4    4    4    4    4    4    4    4    4
 61    2    4    4    4    4    4    4    4    4    4    4    4    4
 62    2    4    4    4    4    4    4    4    4    4    4    4    4
 63    2    4    4    4    4    4    4    4    4    4    4    4    4
 64    2    4    4    4    4    4    4    4    4    4    4    4    4
 65    2    4    4    4    4    4    4    4    4    4    4    4    4
 66    2    4    4    4    4    4    4    4    4    4    4    4    4
 67    2    4    4    4    4    4    4    4    4    4    4    4    4
 68    2    4    4    4    4    4    4    4    4    4    4    4    4
 69    2    4    4    4    4    4    4    4    4    4    4    4    4
 70    2    4    4    4    4    4    4    4    4    4    4    4    4
 71    2    4    4    4    4    4    4    4    4    4    4    4    4
 72    2    4    4    4    4    4    4    4    4    4    4    4    4
 73    2    4    4    4    4    4    4    4    4    4    4    4    4
 74    2    4    4    4    4    4    4    4    4    4    4    4    4
 75    2    4    4    4    4    4    4    4    4    4    4    4    4
 76    2    4    4    4    4    4    4    4    4    4    4    4    4
 77    2    4    4    4    4    4    4    4    4    4    4    4    4
 78    2    4    4    4    4    4    4    4    4    4    4    4    4
 79    2    4    4    4    4    4    4    4    4    4    4    4    4
 80    2    4    4    4    4    4    4    4    4    4    4    4    4
 81    2    4    4    4    4    4    4    4    4    4    4    4    4
 82    2    4    4    4    4    4    4    4    4    4    4    4    4
 83    2    4    4    4    4    4    4    4    4    4    4    4    4
 84    2    4    4    4    4    4    4    4    4    4    4    4    4
 85    2    4    4    4    4    4    4    4    4    4    4    4    4
 86    2    4    4    4    4    4    4    4    4    4    4    4    4
 87    2    4    4    4    4    4    4    4    4    4    4    4    4
 88    2    4    4    4    4    4    4    4    4    4    4    4    4
 89    2    4    4    4    4    4    4    4    4    4    4    4    4
 90    2    4    4    4    4    4    4    4    4    4    4    4    4
 91    2    4    4    4    4    4    4    4    4    4    4    4    4
 92    2    4    4    4    4    4    4    4    4    4    4    4    4
 93    2    4    4    4    4    4    4    4    4    4    4    4    4
 94    2    4    4    4    4    4    4    4    4    4    4    4    4
 95    2    4    4    4    4    4    4    4    4    4    4    4    4
 96    2    4    4    4    4    4    4    4    4    4    4    4    4
 97    2    4    4    4    4    4    4    4    4    4    4    4    4
 98    2    4    4    4    4    4    4    4    4    4    4    4    4
 99    2    4    4    4    4    4    4    4    4    4    4    4    4
100    2    4    4    4    4    4    4    4    4    4    4    4    4
101    2    4    4    4    4    4    4    4    4    4    4    4    4
102    2    4    4    4    4    4    4    4    4    4    4    4    4
103    2    4    4    4    4    4    4    4    4    4    4    4    4
104    2    4    4    4    4    4    4    4    4    4    4    4    4
105    2    4    4    4    4    4    4    4    4    4    4    4    4
106    2    4    4    4    4    4    4    4    4    4    4    4    4
107    2    4    4    4    4    4    4    4    4    4    4    4    4
108    2    4    4    4    4    4    4    4    4    4    4    4    4
109    2    4    4    4    4    4    4    4    4    4    4    4    4
110    2    4    4    4    4    4    4    4    4    4    4    4    4
111    2    4    4    4    4    4    4    4    4    4    4    4    4
112    2    4    4    4    4    4    4    4    4    4    4    4    4
113    2    4    4    4    4    4    4    4    4    4    4    4    4
114    2    4    4    4    4    4    4    4    4    4    4    4    4
115    2    4    4    4    4    4    4    4    4    4    4    4    4
116    2    4    4    4    4    4    4    4    4    4    4    4    4
117    2    4    4    4    4    4    4    4    4    4    4    4    4
118    2    4    4    4    4    4    4    4    4    4    4    4    4
119    2    4    4    4    4    4    4    4    4    4    4    4    4
120    2    4    4    4    4    4    4    4    4    4    4    4    4
  1    3    3    4    4    4    4    4    4    4    4    4    4    4
  2    3    3    4    4    4    4    4    4    4    4    4    4    4
  3    3    3    4    4    4    4    4    4    4    4    4    4    4
  4    3    3    4    4    4    4    4    4    4    4    4    4    4
  5    3    3    4    4    4    4    4    4    4    4    4    4    4
  6    3    3    4    4    4    4    4    4    4    4    4    4    4
  7    3    3    4    4    4    4    4    4    4    4    4    4    4
  8    3    3    4    4    4    4    4    4    4    4    4    4    4
  9    3    3    4    4    4    4    4    4    4    4    4    4    4
 10    3    3    4    4    4    4    4    4    4    4    4    4    4
 11    3    3    4    4    4    4    4    4    4    4    4    4    4
 12    3    3    4    4    4    4    4    4    4    4    4    4    4
 13    3    3    4    4    4    4    4    4    4    4    4    4    4
 14    3    3    4    4    4    4    4    4    4    4    4    4    4
 15    3    3    4    4    4    4    4    4    4    4    4    4    4
 16    3    3    4    4    4    4    4    4    4    4    4    4    4
 17    3    3    4    4    4    4    4    4    4    4    4    4    4
 18    3    3    4    4    4    4    4    4    4    4    4    4    4
 19    3    3    4    4    4    4    4    4    4    4    4    4    4
 20    3    3    4    4    4    4    4    4    4    4    4    4    4
 21    3    3    4    4    4    4    4    4    4    4    4    4    4
 22    3    3    4    4    4    4    4    4    4    4    4    4    4
 23    3    3    4    4    4    4    4    4    4    4    4    4    4
 24    3    3    4    4    4    4    4    4    4    4    4    4    4
 25    3    3    4    4    4    4    4    4    4    4    4    4    4
 26    3    3    4    4    4    4    4    4    4    4    4    4    4
 27    3    3    4    4    4    4    4    4    4    4    4    4    4
 28    3    3    4    4    4    4    4    4    4    4    4    4    4
 29    3    3    4    4    4    4    4    4    4    4    4    4    4
 30    3    3    4    4    4    4    4    4    4    4    4    4    4
 31    3    3    4    4    4    4    4    4    4    4    4    4    4
 32    3    3    4    4    4    4    4    4    4    4    4    4    4
 33    3    3    4    4    4    4    4    4    4    4    4    4    4
 34    3    3    4    4    4    4    4    4    4    4    4    4    4
 35    3    3    4    4    4    4    4    4    4    4    4    4    4
 36    3    3    4    4    4    4    4    4    4    4    4    4    4
 37    3    3    4    4    4    4    4    4    4    4    4    4    4
 38    3    3    4    4    4    4    4    4    4    4    4    4    4
 39    3    3    4    4    4    4    4    4    4    4    4    4    4
 40    3    3    4    4    4    4    4    4    4    4    4    4    4
 41    3    3    4    4    4    4    4    4    4    4    4    4    4
 42    3    3    4    4    4    4    4    4    4    4    4    4    4
 43    3    3    4    4    4    4    4    4    4    4    4    4    4
 44    3    3    4    4    4    4    4    4    4    4    4    4    4
 45    3    3    4    4    4    4    4    4    4    4    4    4    4
 46    3    3    4    4    4    4    4    4    4    4    4    4    4
 47    3    3    4    4    4    4    4    4    4    4    4    4    4
 48    3    3    4    4    4    4    4    4    4    4    4    4    4
 49    3    3    4    4    4    4    4    4    4    4    4    4    4
 50    3    3    4    4    4    4    4    4    4    4    4    4    4
 51    3    3    4    4    4    4    4    4    4    4    4    4    4
 52    3    3    4    4    4    4    4    4    4    4    4    4    4
 53    3    3    4    4    4    4    4    4    4    4    4    4    4
 54    3    3    4    4    4    4    4    4    4    4    4    4    4
 55    3    3    4    4    4    4    4    4    4    4    4    4    4
 56    3    3    4    4    4    4    4    4    4    4    4    4    4
 57    3    3    4    4    4    4    4    4    4    4    4    4    4
 58    3    3    4    4    4    4    4    4    4    4    4    4    4
 59    3    3    4    4    4    4    4    4    4    4    4    4    4
 60    3    3    4    4    4    4    4    4    4    4    4    4    4
 61    3    3    4    4    4    4    4    4    4    4    4    4    4
 62    3    3    4    4    4    4    4    4    4    4    4    4    4
 63    3    3    4    4    4    4    4    4    4    4    4    4    4
 64    3    3    4    4    4    4    4    4    4    4    4    4    4
 65    3    3    4    4    4    4    4    4    4    4    4    4    4
 66    3    3    4    4    4    4    4    4    4    4    4    4    4
 67    3    3    4    4    4    4    4    4    4    4    4    4    4
 68    3    3    4    4    4    4    4    4    4    4    4    4    4
 69    3    3    4    4    4    4    4    4    4    4    4    4    4
 70    3    3    4    4    4    4    4    4    4    4    4    4    4
 71    3    3    4    4    4    4    4    4    4    4    4    4    4
 72    3    3    4    4    4    4    4    4    4    4    4    4    4
 73    3    3    4    4    4    4    4    4    4    4    4    4    4
 74    3    3    4    4    4    4    4    4    4    4    4    4    4
 75    3    3    4    4    4    4    4    4    4    4    4    4    4
 76    3    3    4    4    4    4    4    4    4    4    4    4    4
 77    3    3    4    4    4    4    4    4    4    4    4    4    4
 78    3    3    4    4    4    4    4    4    4    4    4    4    4
 79    3    3    4    4    4    4    4    4    4    4    4    4    4
 80    3    3    4    4    4    4    4    4    4    4    4    4    4
 81    3    3    4    4    4    4    4    4    4    4    4    4    4
 82    3    3    4    4    4    4    4    4    4    4    4    4    4
 83    3    3    4    4    4    4    4    4    4    4    4    4    4
 84    3    3    4    4    4    4    4    4    4    4    4    4    4
 85    3    3    4    4    4    4    4    4    4    4    4    4    4
 86    3    3    4    4    4    4    4    4    4    4    4    4    4
 87    3    3    4    4    4    4    4    4    4    4    4    4    4
 88    3    3    4    4    4    4    4    4    4    4    4    4    4
 89    3    3    4    4    4    4    4    4    4    4    4    4    4
 90    3    3    4    4    4    4    4    4    4    4    4    4    4
 91    3    3    4    4    4    4    4    4    4    4    4    4    4
 92    3    3    4    4    4    4    4    4    4    4    4    4    4
 93    3    3    4    4    4    4    4    4    4    4    4    4    4
 94    3    3    4    4    4    4    4    4    4    4    4    4    4
 95    3    3    4    4    4    4    4    4    4    4    4    4    4
 96    3    3    4    4    4    4    4    4    4    4    4    4    4
 97    3    3    4    4    4    4    4    4    4    4    4    4    4
 98    3    3    4    4    4    4    4    4    4    4    4    4    4
 99    3    3    4    4    4    4    4    4    4    4    4    4    4
100    3    3    4    4    4    4    4    4    4    4    4    4    4
101    3    3    4    4    4    4    4    4    4    4    4    4    4
102    3    3    4    4    4    4    4    4    4    4    4    4    4
103    3    3    4    4    4    4    4    4    4    4    4    4    4
104    3    3    4    4    4    4    4    4    4    4    4    4    4
105    3    3    4    4    4    4    4    4    4    4    4    4    4
106    3    3    4    4    4    4    4    4    4    4    4    4    4
107    3    3    4    4    4    4    4    4    4    4    4    4    4
108    3    3    4    4    4    4    4    4    4    4    4    4    4
109    3    3    4    4    4    4    4    4    4    4    4    4    4
110    3    3    4    4    4    4    4    4    4    4    4    4    4
111    3    3    4    4    4    4    4    4    4    4    4    4    4
112    3    3    4    4    4    4    4    4    4    4    4    4    4
113    3    3    4    4    4    4    4    4    4    4    4    4    4
114    3    3    4    4    4    4    4    4    4    4    4    4    4
115    3    3    4    4    4    4    4    4    4    4    4    4    4
116    3    3    4    4    4    4    4    4    4    4    4    4    4
117    3    3    4    4    4    4    4    4    4    4    4    4    4
118    3    3    4    4    4    4    4    4    4    4    4    4    4
119    3    3    4    4    4    4    4    4    4    4    4    4    4
120    3    3    4    4    4    4    4    4    4    4    4    4    4
  1    4    3    3    4    4    4    4    4    4    4    4    4    5
  2    4    3    3    4    4    4    4    4    4    4    4    4    5
  3    4    3    3    4    4    4    4    4    4    4    4    4    5
  4    4    3    3    4    4    4    4    4    4    4    4    4    5
  5    4    3    3    4    4    4    4    4    4    4    4    4    5
  6    4    3    3    4    4    4    4    4    4    4    4    4    5
  7    4    3    3    4    4    4    4    4    4    4    4    4    5
  8    4    3    3    4    4    4    4    4    4    4    4    4    5
  9    4    3    3    4    4    4    4    4    4    4    4    4    5
 10    4    3    3    4    4    4    4    4    4    4    4    4    5
 11    4    3    3    4    4    4    4    4    4    4    4    4    5
 12    4    3    3    4    4    4    4    4    4    4    4    4    5
 13    4    3    3    4    4    4    4    4    4    4    4    4    5
 14    4    3    3    4    4    4    4    4    4    4    4    4    5
 15    4    3    3    4    4    4    4    4    4    4    4    4    5
 16    4    3    3    4    4    4    4    4    4    4    4    4    5
 17    4    3    3    4    4    4    4    4    4    4    4    4    5
 18    4    3    3    4    4    4    4    4    4    4    4    4    5
 19    4    3    3    4    4    4    4    4    4    4    4    4    5
 20    4    3    3    4    4    4    4    4    4    4    4    4    5
 21    4    3    3    4    4    4    4    4    4    4    4    4    5
 22    4    3    3    4    4    4    4    4    4    4    4    4    5
 23    4    3    3    4    4    4    4    4    4    4    4    4    5
 24    4    3    3    4    4    4    4    4    4    4    4    4    5
 25    4    3    3    4    4    4    4    4    4    4    4    4    5
 26    4    3    3    4    4    4    4    4    4    4    4    4    5
 27    4    3    3    4    4    4    4    4    4    4    4    4    5
 28    4    3    3    4    4    4    4    4    4    4    4    4    5
 29    4    3    3    4    4    4    4    4    4    4    4    4    5
 30    4    3    3    4    4    4    4    4    4    4    4    4    5
 31    4    3    3    4    4    4    4    4    4    4    4    4    5
 32    4    3    3    4    4    4    4    4    4    4    4    4    5
 33    4    3    3    4    4    4    4    4    4    4    4    4    5
 34    4    3    3    4    4    4    4    4    4    4    4    4    5
 35    4    3    3    4    4    4    4    4    4    4    4    4    5
 36    4    3    3    4    4    4    4    4    4    4    4    4    5
 37    4    3    3    4    4    4    4    4    4    4    4    4    5
 38    4    3    3    4    4    4    4    4    4    4    4    4    5
 39    4    3    3    4    4    4    4    4    4    4    4    4    5
 40    4    3    3    4    4    4    4    4    4    4    4    4    5
 41    4    3    3    4    4    4    4    4    4    4    4    4    5
 42    4    3    3    4    4    4    4    4    4    4    4    4    5
 43    4    3    3    4    4    4    4    4    4    4    4    4    5
 44    4    3    3    4    4    4    4    4    4    4    4    4    5
 45    4    3    3    4    4    4    4    4    4    4    4    4    5
 46    4    3    3    4    4    4    4    4    4    4    4    4    5
 47    4    3    3    4    4    4    4    4    4    4    4    4    5
 48    4    3    3    4    4    4    4    4    4    4    4    4    5
 49    4    3    3    4    4    4    4    4    4    4    4    4    5
 50    4    3    3    4    4    4    4    4    4    4    4    4    5
 51    4    3    3    4    4    4    4    4    4    4    4    4    5
 52    4    3    3    4    4    4    4    4    4    4    4    4    5
 53    4    3    3    4    4    4    4    4    4    4    4    4    5
 54    4    3    3    4    4    4    4    4    4    4    4    4    5
 55    4    3    3    4    4    4    4    4    4    4    4    4    5
 56    4    3    3    4    4    4    4    4    4    4    4    4    5
 57    4    3    3    4    4    4    4    4    4    4    4    4    5
 58    4    3    3    4    4    4    4    4    4    4    4    4    5
 59    4    3    3    4    4    4    4    4    4    4    4    4    5
 60    4    3    3    4    4    4    4    4    4    4    4    4    5
 61    4    3    3    4    4    4    4    4    4    4    4    4    5
 62    4    3    3    4    4    4    4    4    4    4    4    4    5
 63    4    3    3    4    4    4    4    4    4    4    4    4    5
 64    4    3    3    4    4    4    4    4    4    4    4    4    5
 65    4    3    3    4    4    4    4    4    4    4    4    4    5
 66    4    3    3    4    4    4    4    4    4    4    4    4    5
 67    4    3    3    4    4    4    4    4    4    4    4    4    5
 68    4    3    3    4    4    4    4    4    4    4    4    4    5
 69    4    3    3    4    4    4    4    4    4    4    4    4    5
 70    4    3    3    4    4    4    4    4    4    4    4    4    5
 71    4    3    3    4    4    4    4    4    4    4    4    4    5
 72    4    3    3    4    4    4    4    4    4    4    4    4    5
 73    4    3    3    4    4    4    4    4    4    4    4    4    5
 74    4    3    3    4    4    4    4    4    4    4    4    4    5
 75    4    3    3    4    4    4    4    4    4    4    4    4    5
 76    4    3    3    4    4    4    4    4    4    4    4    4    5
 77    4    3    3    4    4    4    4    4    4    4    4    4    5
 78    4    3    3    4    4    4    4    4    4    4    4    4    5
 79    4    3    3    4    4    4    4    4    4    4    4    4    5
 80    4    3    3    4    4    4    4    4    4    4    4    4    5
 81    4    3    3    4    4    4    4    4    4    4    4    4    5
 82    4    3    3    4    4    4    4    4    4    4    4    4    5
 83    4    3    3    4    4    4    4    4    4    4    4    4    5
 84    4    3    3    4    4    4    4    4    4    4    4    4    5
 85    4    3    3    4    4    4    4    4    4    4    4    4    5
 86    4    3    3    4    4    4    4    4    4    4    4    4    5
 87    4    3    3    4    4    4    4    4    4    4    4    4    5
 88    4    3    3    4    4    4    4    4    4    4    4    4    5
 89    4    3    3    4    4    4    4    4    4    4    4    4    5
 90    4    3    3    4    4    4    4    4    4    4    4    4    5
 91    4    3    3    4    4    4    4    4    4    4    4    4    5
 92    4    3    3    4    4    4    4    4    4    4    4    4    5
 93    4    3    3    4    4    4    4    4    4    4    4    4    5
 94    4    3    3    4    4    4    4    4    4    4    4    4    5
 95    4    3    3    4    4    4    4    4    4    4    4    4    5
 96    4    3    3    4    4    4    4    4    4    4    4    4    5
 97    4    3    3    4    4    4    4    4    4    4    4    4    5
 98    4    3    3    4    4    4    4    4    4    4    4    4    5
 99    4    3    3    4    4    4    4    4    4    4    4    4    5
100    4    3    3    4    4    4    4    4    4    4    4    4    5
101    4    3    3    4    4    4    4    4    4    4    4    4    5
102    4    3    3    4    4    4    4    4    4    4    4    4    5
103    4    3    3    4    4    4    4    4    4    4    4    4    5
104    4    3    3    4    4    4    4    4    4    4    4    4    5
105    4    3    3    4    4    4    4    4    4    4    4    4    5
106    4    3    3    4    4    4    4    4    4    4    4    4    5
107    4    3    3    4    4    4    4    4    4    4    4    4    5
108    4    3    3    4    4    4    4    4    4    4    4    4    5
109    4    3    3    4    4    4    4    4    4    4    4    4    5
110    4    3    3    4    4    4    4    4    4    4    4    4    5
111    4    3    3    4    4    4    4    4    4    4    4    4    5
112    4    3    3    4    4    4    4    4    4    4    4    4    5
113    4    3    3    4    4    4    4    4    4    4    4    4    5
114    4    3    3    4    4    4    4    4    4    4    4    4    5
115    4    3    3    4    4    4    4    4    4    4    4    4    5
116    4    3    3    4    4    4    4    4    4    4    4    4    5
